username,comentario,data,likes
ea_golveiaws,@slk_marilia_gabriela @ea_barretows,2026-05-10 14:51:02+00:00,0
ea_golveiaws,@adriarafyx @andreiabarreto777,2026-05-10 14:51:01+00:00,0
ea_golveiaws,@_rafaellla._  @barre_tows,2026-05-10 14:51:00+00:00,0
ea_golveiaws,@ea_barretows @slk_marilia_gabriela,2026-05-10 14:50:58+00:00,0
ea_golveiaws,@andreiabarreto777 @adriarafyx,2026-05-10 14:50:55+00:00,0
ea_golveiaws,@barre_tows @_rafaellla._,2026-05-10 14:50:53+00:00,0
ea_golveiaws,@slk_marilia_gabriela @ea_barretows,2026-05-10 14:50:52+00:00,0
ea_golveiaws,@adriarafyx @andreiabarreto777,2026-05-10 14:50:50+00:00,0
ea_golveiaws,@_rafaellla._  @barre_tows,2026-05-10 14:50:49+00:00,0
ea_golveiaws,@ea_barretows @slk_marilia_gabriela,2026-05-10 14:50:47+00:00,0
ea_golveiaws,@andreiabarreto777 @adriarafyx,2026-05-10 14:50:46+00:00,0
ea_golveiaws,@barre_tows @_rafaellla._,2026-05-10 14:50:44+00:00,0
ea_golveiaws,@slk_marilia_gabriela @ea_barretows,2026-05-10 14:50:42+00:00,0
ea_golveiaws,@adriarafyx @andreiabarreto777,2026-05-10 14:50:40+00:00,0
ea_golveiaws,@_rafaellla._  @barre_tows,2026-05-10 14:50:36+00:00,0
ea_golveiaws,@ea_barretows @slk_marilia_gabriela,2026-05-10 14:50:32+00:00,0
ea_golveiaws,@andreiabarreto777 @adriarafyx,2026-05-10 14:50:29+00:00,0
ea_golveiaws,@barre_tows @_rafaellla._,2026-05-10 14:50:26+00:00,0
ea_golveiaws,@slk_marilia_gabriela @ea_barretows,2026-05-10 14:50:21+00:00,0
ea_golveiaws,@adriarafyx @andreiabarreto777,2026-05-10 14:50:19+00:00,0
ea_golveiaws,@_rafaellla._  @barre_tows,2026-05-10 14:50:18+00:00,0
ea_golveiaws,@ea_barretows @slk_marilia_gabriela,2026-05-10 14:50:17+00:00,0
ea_golveiaws,@andreiabarreto777 @adriarafyx,2026-05-10 14:50:16+00:00,0
ea_golveiaws,@barre_tows @_rafaellla._,2026-05-10 14:50:13+00:00,0
ea_golveiaws,@slk_marilia_gabriela @ea_barretows,2026-05-10 14:50:12+00:00,0
ea_golveiaws,@adriarafyx @andreiabarreto777,2026-05-10 14:50:11+00:00,0
ea_golveiaws,@_rafaellla._  @barre_tows,2026-05-10 14:50:09+00:00,0
ea_golveiaws,@ea_barretows @slk_marilia_gabriela,2026-05-10 14:50:08+00:00,0
ea_golveiaws,@andreiabarreto777 @adriarafyx,2026-05-10 14:50:06+00:00,0
ea_golveiaws,@barre_tows @_rafaellla._,2026-05-10 14:50:05+00:00,0
ea_golveiaws,@slk_marilia_gabriela @ea_barretows,2026-05-10 14:50:04+00:00,0
ea_golveiaws,@adriarafyx @andreiabarreto777,2026-05-10 14:50:03+00:00,0
ea_golveiaws,@_rafaellla._  @barre_tows,2026-05-10 14:50:01+00:00,0
ea_golveiaws,@ea_barretows @slk_marilia_gabriela,2026-05-10 14:50:00+00:00,0
ea_golveiaws,@andreiabarreto777 @adriarafyx,2026-05-10 14:49:59+00:00,0
ea_golveiaws,@barre_tows @_rafaellla._,2026-05-10 14:49:52+00:00,0
ea_golveiaws,@slk_marilia_gabriela @ea_barretows,2026-05-10 14:49:49+00:00,0
ea_golveiaws,@adriarafyx @andreiabarreto777,2026-05-10 14:49:46+00:00,0
ea_golveiaws,@_rafaellla._  @barre_tows,2026-05-10 14:49:45+00:00,0
ea_golveiaws,@ea_barretows @slk_marilia_gabriela,2026-05-10 14:49:44+00:00,0
ea_golveiaws,@andreiabarreto777 @adriarafyx,2026-05-10 14:49:42+00:00,0
ea_golveiaws,@ea_barretows @slk_marilia_gabriela,2026-05-10 14:49:09+00:00,0
ea_golveiaws,@andreiabarreto777 @adriarafyx,2026-05-10 14:49:07+00:00,0
ea_golveiaws,@adriarafyx @andreiabarreto777,2026-05-10 14:47:35+00:00,0
ea_golveiaws,@ea_barretows @slk_marilia_gabriela,2026-05-10 14:47:32+00:00,0
ea_golveiaws,@andreiabarreto777 @adriarafyx,2026-05-10 14:47:31+00:00,0
ea_golveiaws,@_rafaellla._ @barre_tows,2026-05-10 03:02:05+00:00,0
ea_golveiaws,@ea_barretows @andreiabarreto777,2026-05-10 03:02:03+00:00,0
ea_golveiaws,@adriarafyx @slk_marilia_gabriela,2026-05-10 03:02:02+00:00,0
ea_golveiaws,@barre_tows @_rafaellla._,2026-05-10 03:02:01+00:00,0
ea_golveiaws,@andreiabarreto777 @ea_barretows,2026-05-10 03:02:00+00:00,0
ea_golveiaws,@slk_marilia_gabriela @adriarafyx,2026-05-10 03:01:59+00:00,0
ea_golveiaws,@_rafaellla._ @barre_tows,2026-05-10 03:01:57+00:00,0
ea_golveiaws,@ea_barretows @andreiabarreto777,2026-05-10 03:01:56+00:00,0
ea_golveiaws,@adriarafyx @slk_marilia_gabriela,2026-05-10 03:01:55+00:00,0
ea_golveiaws,@barre_tows @_rafaellla._,2026-05-10 03:01:53+00:00,0
ea_golveiaws,@andreiabarreto777 @ea_barretows,2026-05-10 03:01:52+00:00,0
ea_golveiaws,@slk_marilia_gabriela @adriarafyx,2026-05-10 03:01:51+00:00,0
ea_golveiaws,@_rafaellla._ @barre_tows,2026-05-10 03:01:49+00:00,0
ea_golveiaws,@ea_barretows @andreiabarreto777,2026-05-10 03:01:48+00:00,0
ea_golveiaws,@adriarafyx @slk_marilia_gabriela,2026-05-10 03:01:46+00:00,0
ea_golveiaws,@barre_tows @_rafaellla._,2026-05-10 03:01:45+00:00,0
ea_golveiaws,@andreiabarreto777 @ea_barretows,2026-05-10 03:01:44+00:00,0
ea_golveiaws,@slk_marilia_gabriela @adriarafyx,2026-05-10 03:01:43+00:00,0
ea_golveiaws,@_rafaellla._ @barre_tows,2026-05-10 03:01:41+00:00,0
ea_golveiaws,@ea_barretows @andreiabarreto777,2026-05-10 03:01:40+00:00,0
ea_golveiaws,@adriarafyx @slk_marilia_gabriela,2026-05-10 03:01:38+00:00,0
ea_golveiaws,@barre_tows @_rafaellla._,2026-05-10 03:01:36+00:00,0
ea_golveiaws,@andreiabarreto777 @ea_barretows,2026-05-10 03:01:35+00:00,0
ea_golveiaws,@slk_marilia_gabriela @adriarafyx,2026-05-10 03:01:34+00:00,0
ea_golveiaws,@_rafaellla._ @barre_tows,2026-05-10 03:01:32+00:00,0
ea_golveiaws,@ea_barretows @andreiabarreto777,2026-05-10 03:01:31+00:00,0
ea_golveiaws,@adriarafyx @slk_marilia_gabriela,2026-05-10 03:01:29+00:00,0
ea_golveiaws,@barre_tows @_rafaellla._,2026-05-10 03:01:27+00:00,0
ea_golveiaws,@andreiabarreto777 @ea_barretows,2026-05-10 03:01:26+00:00,0
ea_golveiaws,@slk_marilia_gabriela @adriarafyx,2026-05-10 03:01:25+00:00,0
ea_golveiaws,@_rafaellla._ @barre_tows,2026-05-10 03:01:23+00:00,0
ea_golveiaws,@ea_barretows @andreiabarreto777,2026-05-10 03:01:22+00:00,0
ea_golveiaws,@adriarafyx @slk_marilia_gabriela,2026-05-10 03:01:21+00:00,0
ea_golveiaws,@barre_tows @_rafaellla._,2026-05-10 03:01:19+00:00,0
ea_golveiaws,@andreiabarreto777 @ea_barretows,2026-05-10 03:01:18+00:00,0
ea_golveiaws,@slk_marilia_gabriela @adriarafyx,2026-05-10 03:01:16+00:00,0
ea_golveiaws,@_rafaellla._ @barre_tows,2026-05-10 03:01:13+00:00,0
ea_golveiaws,@ea_barretows @andreiabarreto777,2026-05-10 03:01:09+00:00,0
ea_golveiaws,@adriarafyx @slk_marilia_gabriela,2026-05-10 03:01:07+00:00,0
ea_golveiaws,@barre_tows @_rafaellla._,2026-05-10 03:01:06+00:00,0
ea_golveiaws,@andreiabarreto777 @ea_barretows,2026-05-10 03:01:04+00:00,0
ea_golveiaws,@slk_marilia_gabriela @adriarafyx,2026-05-10 03:01:03+00:00,0
ea_golveiaws,@_rafaellla._ @barre_tows,2026-05-10 03:01:02+00:00,0
ea_golveiaws,@ea_barretows @andreiabarreto777,2026-05-10 03:01:00+00:00,0
ea_golveiaws,@adriarafyx @slk_marilia_gabriela,2026-05-10 03:00:59+00:00,0
ea_golveiaws,@barre_tows @_rafaellla._,2026-05-10 03:00:36+00:00,0
ea_golveiaws,@andreiabarreto777 @ea_barretows,2026-05-10 03:00:34+00:00,0
ea_golveiaws,@slk_marilia_gabriela @adriarafyx,2026-05-10 03:00:33+00:00,0
ea_golveiaws,@_rafaellla._ @barre_tows,2026-05-10 03:00:31+00:00,0
ea_golveiaws,@ea_barretows @andreiabarreto777,2026-05-10 03:00:29+00:00,0
ea_golveiaws,@adriarafyx @slk_marilia_gabriela,2026-05-10 03:00:25+00:00,0
ea_golveiaws,@barre_tows @_rafaellla._,2026-05-10 03:00:24+00:00,0
ea_golveiaws,@andreiabarreto777 @ea_barretows,2026-05-10 03:00:22+00:00,0
ea_golveiaws,@slk_marilia_gabriela @adriarafyx,2026-05-10 03:00:21+00:00,0
ea_golveiaws,@_rafaellla._ @barre_tows,2026-05-10 03:00:19+00:00,0
ea_golveiaws,@ea_barretows @andreiabarreto777,2026-05-10 03:00:18+00:00,0
ea_golveiaws,@adriarafyx @slk_marilia_gabriela,2026-05-10 03:00:16+00:00,0
ea_golveiaws,@barre_tows @_rafaellla._,2026-05-10 03:00:15+00:00,0
ea_golveiaws,@andreiabarreto777 @ea_barretows,2026-05-10 03:00:10+00:00,0
ea_golveiaws,@slk_marilia_gabriela @adriarafyx,2026-05-10 03:00:09+00:00,0
ea_golveiaws,@_rafaellla._ @barre_tows,2026-05-10 03:00:08+00:00,0
ea_golveiaws,@ea_barretows @andreiabarreto777,2026-05-10 03:00:07+00:00,0
ea_golveiaws,@adriarafyx @slk_marilia_gabriela,2026-05-10 03:00:04+00:00,0
ea_golveiaws,@ea_barretows @andreiabarreto777,2026-05-07 21:04:09+00:00,0
ea_golveiaws,@adriarafyx @slk_marilia_gabriela,2026-05-07 21:04:07+00:00,0
ea_golveiaws,@barre_tows @_rafaellla._,2026-05-07 21:04:06+00:00,0
ea_golveiaws,@andreiabarreto777 @ea_barretows,2026-05-07 21:04:05+00:00,0
ea_golveiaws,@slk_marilia_gabriela @adriarafyx,2026-05-07 21:04:03+00:00,0
ea_golveiaws,@_rafaellla._ @barre_tows,2026-05-07 21:04:02+00:00,0
ea_golveiaws,@ea_barretows @andreiabarreto777,2026-05-07 21:04:01+00:00,0
ea_golveiaws,@adriarafyx @slk_marilia_gabriela,2026-05-07 21:03:59+00:00,0
ea_golveiaws,@barre_tows @_rafaellla._,2026-05-07 21:03:58+00:00,0
ea_golveiaws,@andreiabarreto777 @ea_barretows,2026-05-07 21:03:57+00:00,0
ea_golveiaws,@slk_marilia_gabriela @adriarafyx,2026-05-07 21:03:56+00:00,0
ea_golveiaws,@_rafaellla._ @barre_tows,2026-05-07 21:03:54+00:00,0
ea_golveiaws,@ea_barretows @andreiabarreto777,2026-05-07 21:03:53+00:00,0
ea_golveiaws,@adriarafyx @slk_marilia_gabriela,2026-05-07 21:03:51+00:00,0
ea_golveiaws,@barre_tows @_rafaellla._,2026-05-07 21:03:50+00:00,0
ea_golveiaws,@andreiabarreto777 @ea_barretows,2026-05-07 21:03:49+00:00,0
ea_golveiaws,@slk_marilia_gabriela @adriarafyx,2026-05-07 21:03:48+00:00,0
